,EndCriteria,1-PID-1-1,1-PID-2-1,1-PID-3-1,1-PID-4-1,1-PID-5-1,1-PID-6-1,1-PID-7-1,1-PID-8-1,1-PID-9-1,1-PID-10-1,1-PID-11-1,1-PID-12-1,1-PID-13-1,1-PID-14-1,1-PID-15-1,1-PID-16-1,1-PID-17-1,1-RID-1-1,1-RID-2-1,1-RID-3-1,1-RID-4-1,1-RID-5-1,1-RID-6-1,1-RID-7-1,1-RID-8-1,1-RID-9-1,1-RID-10-1,1-RID-11-1,1-RID-12-1,1-RID-13-1,1-RID-14-1,1-RID-15-1,1-RID-16-1,1-RID-17-1,1-PFA-0-1,1-PFA-1-1,1-PFA-2-1,1-PFA-3-1,1-PFA-4-1,1-PFA-5-1,1-PFA-6-1,1-PFA-7-1,1-PFA-8-1,1-PFA-9-1,1-PFA-10-1,1-PFA-11-1,1-PFA-12-1,1-PFA-13-1,1-PFA-14-1,1-PFA-15-1,1-PFA-16-1,1-PFA-17-1,1-DSS-2-100,1-DSS-4-100,1-DSS-6-100,1-DSS-8-100,1-DSS-2-101,1-DSS-4-101,1-DSS-6-101,1-DSS-8-101,1-DSS-10-101,1-DSS-2-102,1-DSS-4-102,1-DSS-6-102,1-DSS-8-102,1-DSS-10-102,1-DSS-2-103,1-DSS-4-103,1-DSS-6-103,1-DSS-8-103,1-DSS-10-103,1-DSS-12-103,1-DSS-2-104,1-DSS-4-104,1-DSS-6-104,1-DSS-8-104,1-DSS-10-104,1-DSS-12-104,1-DSS-2-105,1-DSS-4-105,1-DSS-6-105,1-DSS-8-105,1-DSS-10-105,1-DSS-12-105,1-DSS-14-105,1-DSS-16-105,1-DSS-2-106,1-DSS-4-106,1-DSS-6-106,1-DSS-8-106,1-DSS-10-106,1-DSS-12-106,1-DSS-14-106,1-DSS-16-106,1-DSS-2-107,1-DSS-4-107,1-DSS-6-107,1-DSS-8-107,1-DSS-10-107,1-DSS-12-107,1-DSS-14-107,1-DSS-16-107,1-DSS-2-108,1-DSS-4-108,1-DSS-6-108,1-DSS-8-108,1-DSS-10-108,1-DSS-12-108,1-DSS-14-108,1-DSS-16-108,1-DSS-2-109,1-DSS-4-109,1-DSS-6-109,1-DSS-8-109,1-DSS-10-109,1-DSS-12-109,1-DSS-14-109,1-DSS-16-109
RSN1113_KOBE_OSA000,nonCollapse,0.0221156,0.0215207,0.0205749,0.014862,0.010028,0.00830946,0.00678768,0.00503231,0.00490498,0.00510962,0.00537946,0.00581746,0.00683193,0.00682458,0.00593049,0.00468968,0.00281713,0.00449267,0.00403388,0.00338094,0.00211903,0.00111553,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,132.188,132.188,142.952,155.155,148.419,132.011,156.275,138.71,144.387,146.901,164.87,172.257,173.554,182.104,196.341,218.152,248.658,277.374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1144_AQABA_EIL-EW,nonCollapse,0.0350384,0.0320408,0.0246517,0.0133716,0.00900355,0.0067813,0.00603736,0.00486758,0.00464239,0.00455349,0.00479733,0.00543285,0.00652953,0.00664421,0.00595477,0.00476378,0.00280718,0.00586837,0.00502797,0.00369242,0.00191708,0.000792768,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,145.348,145.348,174.714,216.539,182.379,162.091,159.412,144.523,128.591,138.268,147.423,161.532,175.252,183.405,196.868,217.851,253.246,286.548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1177_KOCAELI_ZYT000,nonCollapse,0.0462353,0.0420752,0.0367994,0.0239047,0.0134472,0.00800677,0.00701261,0.00563677,0.00571834,0.0069888,0.00791153,0.00964966,0.0130363,0.0135429,0.0109394,0.00777352,0.00445716,-0.0235564,-0.0212572,-0.0167171,-0.00932175,-0.00330967,-0.000656834,0.0005,0.0005,0.0005,0.0005,-0.0005,0.0005,0.0005,0.0005,-0.0005,-0.0005,-0.0005,322.323,322.323,297.165,216.389,183.73,179.937,181.725,201.14,205.356,192.926,222.351,223.607,217.808,326.809,295.145,407.256,557.329,461.502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1207_CHICHI_CHY044-E,nonCollapse,0.0775135,0.0708234,0.0530771,0.0283631,0.0124701,0.00902504,0.0072487,0.00562114,0.00547779,0.00560625,0.00570861,0.0060276,0.00700872,0.0069675,0.00601681,0.00470749,0.00274973,0.0386331,0.034585,0.0260999,0.0131077,0.00392921,0.000630114,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,111.106,111.106,1505.25,1435.93,273.245,165.362,145.213,145.592,159.958,178.457,185.469,186.168,172.644,184.058,204.183,226.202,257.171,283.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1215_CHICHI_CHY058-E,nonCollapse,0.0173322,0.0166693,0.0147817,0.0103965,0.00787549,0.00683074,0.0067221,0.00569861,0.00545559,0.00541592,0.00575543,0.00625988,0.00738044,0.00735028,0.00631127,0.0050814,0.00303708,0.00117693,0.00109467,0.000859305,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,-0.0005,-0.0005,-0.0005,-0.0005,97.5352,97.5352,137.767,177.869,157.064,195.547,174.027,165.256,153.986,157.76,143.173,160.203,182.11,195.771,204.054,244.603,275.737,305.223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1217_CHICHI_CHY060-E,nonCollapse,0.0345292,0.0330574,0.0281827,0.0182809,0.0112033,0.00797272,0.00672687,0.00517145,0.00502482,0.00512522,0.00510938,0.00554788,0.00662293,0.00671169,0.00590476,0.00470458,0.00279121,-0.00665336,-0.00593467,-0.00455113,-0.00237826,-0.00104129,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,78.5352,78.5352,107.319,123.143,124.95,130.808,135.385,141.046,126.163,127.334,116.094,132.714,173.146,200.649,218.316,226.173,242.27,279.994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1238_CHICHI_CHY092-N,nonCollapse,0.0393479,0.035749,0.0291447,0.0175946,0.00953296,0.00684573,0.00551654,0.00419094,0.0040061,0.00399221,0.00400049,0.00423693,0.00501645,0.0050638,0.004437,0.00351866,0.002088,0.0103185,0.00899029,0.00676045,0.00367552,0.00153376,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,72.0177,72.0177,98.6946,117.252,115.885,117.436,114.662,108.97,115.135,112.993,133.258,146.074,146.722,139.576,153.788,168.26,179.404,206.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1243_CHICHI_CHY100-N,nonCollapse,0.0250689,0.023116,0.0198754,0.0129276,0.00838551,0.00712193,0.00615297,0.00465356,0.00455209,0.00477932,0.00499964,0.00542066,0.00664407,0.0068514,0.00605014,0.00478025,0.0028177,0.00152602,0.0014103,0.00119566,0.000773823,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,86.527,86.527,119.726,157.934,155.221,145.669,156.592,144.872,129.69,120.718,129.554,150.861,160.803,154.424,176.233,209.517,251.106,290.229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1268_CHICHI_HWA017-E,nonCollapse,0.0211875,0.0196277,0.0166151,0.0116201,0.00965151,0.00877949,0.00690723,0.00609113,0.00669293,0.00709917,0.00773775,0.00911436,0.0116932,0.0121234,0.00992969,0.00722751,0.00419548,0.000535305,0.000543225,0.0005,0.0005,0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.000906213,-0.00115464,-0.00076283,-0.0005,-0.0005,223.357,223.357,223.858,232.91,236.183,204.907,208.401,206.92,183.236,210.241,222.63,226.512,217.215,203.648,303.387,351.749,422.819,435.754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RSN1277_CHICHI_HWA028-E,nonCollapse,0.037409,0.0334418,0.0261559,0.0161323,0.0130471,0.0108765,0.00895624,0.00617462,0.00572107,0.00607122,0.00633987,0.00691322,0.00943906,0.0104784,0.00895951,0.00666286,0.00385659,0.00400415,0.00341072,0.00238052,0.00130002,0.00052036,0.0005,0.0005,0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,188.254,188.254,193.506,218.855,183.87,181.678,190.827,176.324,205.606,209.95,216.737,213.303,189.515,226.992,268.807,292.786,393.437,409.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
